programa,threads,rep,tempo_s,maquina
laplace2d_gcc_i50,1,1,4.455720,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,1,2,3.665526,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,1,3,2.616379,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,1,4,2.878821,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,1,5,2.355751,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,2,1,2.796254,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,2,2,2.563363,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,2,3,2.999177,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,2,4,2.424773,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,2,5,2.394420,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,3,1,2.405231,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,3,2,2.479387,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,3,3,2.369532,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,3,4,2.474838,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,3,5,3.117670,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,4,1,2.715610,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,4,2,2.584380,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,4,3,2.507887,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,4,4,2.592826,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i50,4,5,2.412716,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,1,1,0.136556,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,1,2,0.162371,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,1,3,0.133787,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,1,4,0.143348,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,1,5,0.152068,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,2,1,0.144314,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,2,2,0.140161,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,2,3,0.160936,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,2,4,0.172307,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,2,5,0.159043,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,3,1,0.148796,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,3,2,0.114901,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,3,3,0.126402,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,3,4,0.124592,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,3,5,0.123345,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,4,1,0.143081,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,4,2,0.118894,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,4,3,0.128751,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,4,4,0.121633,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i50,4,5,0.149978,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,1,1,1.384085,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,1,2,1.498161,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,1,3,1.451347,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,1,4,1.296734,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,1,5,1.402466,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,2,1,1.285678,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,2,2,1.268974,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,2,3,1.255474,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,2,4,1.346160,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,2,5,1.466476,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,3,1,1.444527,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,3,2,1.334660,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,3,3,1.484239,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,3,4,1.228387,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,3,5,1.262899,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,4,1,1.226233,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,4,2,1.215100,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,4,3,1.749124,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,4,4,1.602486,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1k_gcc_i500,4,5,1.547982,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,1,1,25.980594,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,1,2,23.318090,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,1,3,23.123430,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,2,1,23.622095,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,2,2,23.470758,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,2,3,23.929977,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,3,1,23.443391,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,3,2,23.769216,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,3,3,23.318360,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,4,1,23.534352,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,4,2,24.222612,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_1loop_gcc_i500,4,3,24.504804,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,1,1,29.164025,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,1,2,32.035510,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,1,3,26.417650,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,1,4,24.173284,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
laplace2d_gcc_i500,1,5,23.010905,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (4 nucleos fisicos)
