programa,threads,rep,tempo_s,maquina
laplace2d_1loop_gcc_i500,1,1,34.973832,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,1,2,35.047638,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,1,3,35.002084,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,2,1,17.784104,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,2,2,17.706069,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,2,3,17.784760,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,3,1,12.212140,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,3,2,11.953696,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,3,3,11.931910,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,4,1,9.379771,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,4,2,9.101200,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,4,3,9.358471,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,5,1,7.495160,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,5,2,7.527286,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,5,3,7.635069,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,6,1,6.366483,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,6,2,6.329851,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,6,3,6.356806,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,7,1,5.556346,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,7,2,5.766456,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,7,3,5.494968,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,8,1,4.971806,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,8,2,4.968853,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,8,3,4.985097,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,9,1,4.518665,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,9,2,4.479811,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,9,3,4.479247,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,10,1,4.113954,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,10,2,4.101634,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,10,3,4.160965,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,11,1,4.065505,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,11,2,3.830230,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,11,3,3.825148,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,12,1,3.596548,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,12,2,3.616229,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,12,3,3.608583,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,13,1,3.437354,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,13,2,3.538524,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,13,3,3.548240,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,14,1,3.225196,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,14,2,3.270072,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,14,3,3.258963,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,15,1,3.126419,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,15,2,3.104295,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,15,3,3.175951,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,16,1,3.114669,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,16,2,3.111140,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,16,3,2.987465,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,17,1,2.900236,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,17,2,2.924123,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,17,3,2.908884,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,18,1,2.801440,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,18,2,2.828740,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,18,3,2.833248,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,19,1,2.740244,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,19,2,2.757906,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,19,3,2.738742,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,20,1,2.710237,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
