programa,threads,rep,tempo_s,maquina
laplace2d_gcc_i50,1,1,3.531561,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,2,1,1.839889,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,3,1,1.343968,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,4,1,1.068771,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,5,1,0.867652,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,6,1,0.763444,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,7,1,0.667456,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,8,1,0.586303,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,9,1,0.535677,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,10,1,0.515750,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,11,1,0.478263,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,12,1,0.441388,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,13,1,0.428511,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,14,1,0.418309,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,15,1,0.396272,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,16,1,0.383893,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,17,1,0.375101,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,18,1,0.387541,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,19,1,0.383837,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,20,1,0.371369,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,21,1,0.358474,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,22,1,0.373880,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,23,1,0.365722,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,24,1,0.339975,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,25,1,0.367662,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_gcc_i50,26,1,0.360754,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
