threads,rep,pi,tempo_s
1,1,3.1415926535898393,1.400332
1,2,3.1415926535898393,1.397702
1,3,3.1415926535898393,1.396241
1,4,3.1415926535898393,1.394810
1,5,3.1415926535898393,1.397232
1,6,3.1415926535898393,1.395157
1,7,3.1415926535898393,1.400055
1,8,3.1415926535898393,1.398055
1,9,3.1415926535898393,1.400366
1,10,3.1415926535898393,1.397017
1,11,3.1415926535898393,1.397899
1,12,3.1415926535898393,1.399935
1,13,3.1415926535898393,1.398883
1,14,3.1415926535898393,1.412993
1,15,3.1415926535898393,1.400798
1,16,3.1415926535898393,1.399102
1,17,3.1415926535898393,1.400456
1,18,3.1415926535898393,1.399260
1,19,3.1415926535898393,1.400479
1,20,3.1415926535898393,1.407041
1,21,3.1415926535898393,1.401056
1,22,3.1415926535898393,1.398540
1,23,3.1415926535898393,1.399196
1,24,3.1415926535898393,1.401650
1,25,3.1415926535898393,1.397370
1,26,3.1415926535898393,1.400471
1,27,3.1415926535898393,1.399820
1,28,3.1415926535898393,1.394105
1,29,3.1415926535898393,1.397482
1,30,3.1415926535898393,1.397407
2,1,3.1415926535898540,0.722713
2,2,3.1415926535898540,0.722631
2,3,3.1415926535898540,0.722285
2,4,3.1415926535898540,0.721379
2,5,3.1415926535898540,0.727281
2,6,3.1415926535898540,0.722449
2,7,3.1415926535898540,0.723875
2,8,3.1415926535898540,0.720891
2,9,3.1415926535898540,0.718640
2,10,3.1415926535898540,0.716705
2,11,3.1415926535898540,0.721212
2,12,3.1415926535898540,0.714666
2,13,3.1415926535898540,0.723002
2,14,3.1415926535898540,0.721638
2,15,3.1415926535898540,0.719724
2,16,3.1415926535898540,0.720954
2,17,3.1415926535898540,0.723267
2,18,3.1415926535898540,0.722771
2,19,3.1415926535898540,0.727282
2,20,3.1415926535898540,0.718068
2,21,3.1415926535898540,0.718942
2,22,3.1415926535898540,0.724085
2,23,3.1415926535898540,0.717739
2,24,3.1415926535898540,0.718733
2,25,3.1415926535898540,0.723502
2,26,3.1415926535898540,0.718012
2,27,3.1415926535898540,0.720857
2,28,3.1415926535898540,0.720101
2,29,3.1415926535898540,0.723318
2,30,3.1415926535898540,0.719341
3,1,3.1415926535898309,0.493764
3,2,3.1415926535898309,0.493934
3,3,3.1415926535898309,0.493442
3,4,3.1415926535898309,0.493272
3,5,3.1415926535898309,0.492760
3,6,3.1415926535898309,0.492876
3,7,3.1415926535898309,0.497337
3,8,3.1415926535898309,0.492911
3,9,3.1415926535898309,0.493178
3,10,3.1415926535898309,0.493349
3,11,3.1415926535898309,0.492445
3,12,3.1415926535898309,0.492611
3,13,3.1415926535898309,0.492921
3,14,3.1415926535898309,0.492195
3,15,3.1415926535898309,0.492532
3,16,3.1415926535898309,0.491851
3,17,3.1415926535898309,0.492865
3,18,3.1415926535898309,0.492980
3,19,3.1415926535898309,0.492976
3,20,3.1415926535898309,0.492685
3,21,3.1415926535898309,0.492276
3,22,3.1415926535898309,0.492606
3,23,3.1415926535898309,0.493415
3,24,3.1415926535898309,0.493552
3,25,3.1415926535898309,0.493877
3,26,3.1415926535898309,0.492851
3,27,3.1415926535898309,0.493866
3,28,3.1415926535898309,0.493257
3,29,3.1415926535898309,0.494073
3,30,3.1415926535898309,0.492497
4,1,3.1415926535898255,0.375093
4,2,3.1415926535898251,0.376787
